name,instructions,category,glass,ingredient-1,ingredient-2,ingredient-3,ingredient-4,ingredient-5,ingredient-6,ingredient-7,ingredient-8,ingredient-9,ingredient-10,ingredient-11,ingredient-12,measurement-1,measurement-2,measurement-3,measurement-4,measurement-5,measurement-6,measurement-7,measurement-8,measurement-9,measurement-10,measurement-11,measurement-12
'57 Chevy with a White License Plate,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Cocktail,Highball glass,Creme de Cacao,Vodka,,,,,,,,,,,1 oz white ,1 oz , , , , , ,,,,,
1-900-FUK-MEUP,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,Shot,Old-fashioned glass,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,,,1/2 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz , , , , 
110 in the shade,Drop shooter in glass. Fill with beer,Beer,Beer Glass,Lager,Tequila,,,,,,,,,,,16 oz ,1.5 oz , , , , , ,,,,,
151 Florida Bushwacker,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,Milk / Float / Shake,Beer mug,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup , , , , 
155 Belmont,Blend with ice. Serve in a wine glass. Garnish with carrot.,Cocktail,White wine glass,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot , , , , , ,,,
24k nightmare,"Add over ice,shake and pour.",Shot,Shot glass,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi , , , , , ,,,
252,"Add both ingredients to shot glass, shoot, and get drunk quick",Shot,Shot glass,151 proof rum,Wild Turkey,,,,,,,,,,,1/2 shot Bacardi ,1/2 shot , , , , , ,,,,,
3 Wise Men,put them them in a glass... and slam it to tha head.,Shot,Collins glass,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz , , , , , ,,,,
3-Mile Long Island Iced Tea,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Ordinary Drink,Collins Glass,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,"
",1-2 dash ,1 wedge , , , , 
410 Gone,,Ordinary Drink,Collins Glass,Peach Vodka,Coca-Cola,,,,,,,,,,,2-3 oz,,,,,,,,,,,
50/50,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Ordinary Drink,Collins Glass,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,,,2 1/2 oz ,1 splash ,Fill with , , , , , ,,,,
501 Blue,Mix equal amounts into a glass with ice.,Ordinary Drink,Collins Glass,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,"
","
","
","
","
","
","
","
",,,,
69 Special,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",Ordinary Drink,Collins Glass,Gin,7-Up,Lemon juice,,,,,,,,,,2 oz dry ,4 oz ,0.75 oz , , , , , ,,,,
747,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",Shot,Shot glass,Kahlua,Bailey's irish cream,Frangelico,,,,,,,,,,1/3 part ,1/3 part ,1/3 part , , , , , ,,,,
9 1/2 Weeks,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Cocktail,Cocktail glass,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,,,,2 oz ,1/2 oz ,1 splash ,1 oz , , , , , ,,,
A Day at the Beach,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",Ordinary Drink,Highball glass,Coconut rum,Amaretto,Orange juice,Grenadine,,,,,,,,,1 oz ,1/2 oz ,4 oz ,1/2 oz , , , , , ,,,
A Furlong Too Late,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Ordinary Drink,Highball glass,Light rum,Ginger beer,Lemon peel,,,,,,,,,,2 oz ,4 oz ,1 twist of , , , , , ,,,,
A Gilligan's Island,"Shaken, not stirred!",Cocktail,Collins glass,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,1 oz ,1 oz ,3 oz ,3 oz , , , , , ,,,
A Night In Old Mandalay,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",Ordinary Drink,Highball glass,Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,,,,1 oz ,1 oz ,1 oz ,1/2 oz ,3 oz ,1 twist of , , , , , ,
A Piece of Ass,Put ice in glass. Pour in shots. Fill with Sour Mix.,Other/Unknown,Highball glass,Amaretto,Southern Comfort,Ice,Sour mix,,,,,,,,,1 shot ,1 shot ," cubes
","
","
","
","
","
","
",,,
A Splash of Nash,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,Shot,Highball glass,Cranberry juice,Soda water,Midori melon liqueur,Creme de Banane,,,,,,,,,2 oz ,2 oz ,0.5 oz ,0.5 oz , , , , , ,,,
A True Amaretto Sour,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",Cocktail,Old-fashioned glass,Amaretto,Lemon,Ice,Maraschino cherry,,,,,,,,,1 jigger ,Juice of 1/2 ,"
", , , , , ,,,,
A midsummernight dream,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",Ordinary Drink,Collins Glass,Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,2 oz ,1 oz ,1 tsp ,5,"
","
","
","
","
","
",,
A. J.,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Applejack,Grapefruit juice,,,,,,,,,,,1 1/2 oz ,1 oz , , , , , ,,,,,
A.D.M. (After Dinner Mint),shake vigorously,Cocktail,Irish coffee cup,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,,,1/2 oz ,3/4 oz ,1/2 oz ,Fill with , , , , , ,,,
